topic,question_id,case_study,question,a,b,c,d,e,f,g,h,i,j,k,l
Management context,2.4.7.3.,Zhao,"Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.4.,Zhao,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",NA,NA,NA,NA,NA,NA,NA,h,NA,NA,NA,NA
Management context,2.4.7.5.,Zhao,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Zhao,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",NA,b,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Zhao,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",a,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
Management context,2.4.8.1.,Zhao,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Zhao,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.2.,Zhao,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Zhao,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.1.1.,Zhao,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",NA,b,c,d,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Zhao,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Zhao,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Zhao,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Zhao,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.6.1.,Zhao,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Zhao,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Zhao,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Zhao,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
